#multi:
	mass A		mass B		
t	x	y	x	y	
45.543	3.052E-2	-1.365E-3		
45.576	2.867E-2	-8.146E-5		
45.610	2.751E-2	-6.570E-4		
45.643	2.554E-2	-6.895E-5		
45.677	2.449E-2	-7.609E-4		
45.710	2.333E-2	-1.220E-3		
45.743	2.159E-2	-1.692E-4		
45.777	2.055E-2	-3.971E-4		
45.810	1.973E-2	-6.259E-4		
45.844	1.857E-2	-8.533E-4		
45.877	1.672E-2	-1.078E-3		
45.911	1.556E-2	-4.932E-4		
45.944	1.428E-2	-1.184E-3		
45.978	1.312E-2	-4.835E-4		
46.011	1.150E-2	1.031E-3		
46.045	1.115E-2	-5.916E-4		
46.078	9.640E-3	-3.535E-4		
46.112	8.477E-3	-1.045E-3		
46.145	7.548E-3	-1.389E-3		
46.179	6.275E-3	-4.561E-4		
